sentiment,price_change
0.9463,0.6813
0.9014,0.6813
0.9537,0.6813
0.9486,-0.7045
0.9147,2.8588
0.7788,2.8588
0.7264,0.5292
0.7704,0.5292
0.4819,0.5292
0.388,-1.1913
0.7636,-0.0216
0.7799,-0.0831
0.8627,-0.0831
0.711,-0.0831
0.6999,-0.0831
0.6085,0.1411
0.6976,0.7372
0.6546,-0.0598
0.9263,-0.0598
0.9364,-0.2468
0.8762,0.6218
0.9708,-0.2625
0.9162,-0.2625
0.8623,0.7228
0.8955,0.7228
0.8208,0.7228
0.5974,-0.3109
0.9084,-1.0712
0.5951,-1.0712
0.6661,-1.1148
0.7545,-1.1148
0.8055,-0.1111
0.8443,-0.2472
0.9513,-0.1603
0.8568,-0.1603
0.9349,-0.1603
0.7469,7.3923
0.6925,0.4184
0.9164,-1.3549
0.9223,-1.3549
0.8925,0.397
0.9518,0.397
0.8927,-0.0858
0.9117,-0.0858
0.6773,-0.8928
0.8733,0.6648
0.8866,1.4753
0.7197,1.4753
0.9299,1.4753
0.7298,1.4753
0.9222,1.4753
0.7214,-0.1261
0.7871,-0.43
0.9447,2.0242
0.9103,2.0242
0.8199,1.7008
0.4113,1.7008
0.9289,1.4203
0.8601,-3.1479
0.9225,-3.1479
0.8788,-3.1479
0.9642,-0.3621
0.9539,-0.6242
0.5497,1.0183
0.9716,1.0183
0.9722,1.0183
0.9288,-0.5743
0.767,0.3891
0.7479,0.3891
0.564,-1.178
0.8993,-3.2896
0.8156,0.3719
0.7228,3.062
0.9737,3.062
0.9731,-3.3333
0.5421,-3.3333
0.5417,-0.0437
0.7522,-2.2823
0.9396,-2.2823
0.9679,-0.7837
0.9696,-0.7837
0.5928,-0.7837
0.7432,-0.0684
0.7588,0.761
0.5801,0.761
0.8376,0.761
0.7719,-0.2505
0.5735,-0.1844
0.8718,-0.1844
0.8728,-0.1844
0.4456,-0.4997
0.9101,0.6813
0.9648,0.0
0.6599,0.5292
0.4607,0.5292
0.7309,0.5292
0.8093,0.5292
0.8213,0.5292
0.8737,0.5292
0.8296,-0.0598
0.6512,-0.0598
0.9139,-0.2468
0.7821,-0.2468
0.6159,0.6218
0.6671,0.6218
0.9195,0.6218
0.8316,0.6218
0.7605,0.3928
0.7249,0.3287
0.9023,0.3287
0.8065,-0.2625
0.8848,-0.2625
0.887,-0.2625
0.6788,-1.178
0.9301,-1.0712
0.8061,-1.0712
0.8061,-1.0712
0.6204,-1.1148
0.935,1.2968
0.9625,-0.2472
0.7628,-0.1603
0.7592,-0.1603
0.6493,-1.3549
0.9203,-0.0858
0.8714,-0.43
0.9617,2.0242
0.8893,2.0242
0.9462,2.0242
0.9302,2.0242
0.9691,2.0242
0.965,2.0242
0.5334,1.7008
0.5608,-0.1603
0.8098,1.7008
0.7551,0.4607
0.8528,-3.1479
0.9346,-3.1479
0.4411,-3.1479
0.651,-0.3621
0.7521,-0.6242
0.891,7.3923
